Date,PX_LAST,PX_HIGH,PX_LOW
1/6/2025,101661.87,102504.01,97935.65
1/5/2025,98482.42,98615.09,97268.96
1/4/2025,98355.29,98753.86,97557.64
1/3/2025,98243.4,98956.93,96036.7
1/2/2025,97123.79,97742.11,94184.64
1/1/2025,94771.56,94943.43,92779.56
12/31/2024,93714.04,96142.01,91817.87
12/30/2024,91918.95,94899.51,91306.98
12/29/2024,93204.92,95538.45,93017.85
12/28/2024,94991.98,95145.84,94011.64
12/27/2024,94400.07,97303.48,93288.85
12/26/2024,95696.78,99876.7,95110.67
12/25/2024,98428.04,99448.17,97600.01
12/24/2024,98322.95,99449.51,93453.74
12/23/2024,93847.37,96424.07,92406.59
12/22/2024,95111.82,97373.61,94344.62
12/21/2024,96864.46,99522.14,96402.36
12/20/2024,96557.17,98349.04,92149.4
12/19/2024,97327.84,102766.51,95564.37
12/18/2024,100950.51,106489.41,100172.72
12/17/2024,106407.51,108315.51,105512.01
12/16/2024,106075.01,107790.81,102617.41
12/15/2024,102836.81,103385.22,100884.22
12/14/2024,101075.91,102637.81,100615.31
12/13/2024,101342.01,101910.11,99244.95
12/12/2024,99787.04,102537.61,99304.54
12/11/2024,101612.51,101811.51,95744.59
12/10/2024,96911.36,98313.89,94324.54
12/9/2024,96935.04,101434.81,94277.12
12/8/2024,100091.91,100553.61,98761.07
12/7/2024,99974.34,100854.61,99067.79
12/6/2024,100566.11,102078.11,92143.99
12/5/2024,99029.87,103800.41,97724.2
12/4/2024,97876.14,99225.65,94669.12
12/3/2024,96086.07,96305.89,93601.39
12/2/2024,95419.96,98191.7,94458.76
12/1/2024,97824.17,97829.59,95760.96
11/30/2024,96841.2,97569.29,96154.73
11/29/2024,97460.39,98715.54,95052.32
11/28/2024,95132.86,96655.36,94681.95
11/27/2024,96400.51,97361.06,91508.14
11/26/2024,91651.14,94999.32,90742.51
11/25/2024,93714.51,98943.51,93565.42
11/24/2024,97040.56,98641.42,95775.86
11/23/2024,98077.31,99546.67,97240.56
11/22/2024,99420.01,99728.36,97218.71
11/21/2024,98084.99,99022.7,93850.62
11/20/2024,94463.65,94929.06,91494.57
11/19/2024,92306.2,94031.53,90302.43
11/18/2024,91370.51,92606.37,88741.6
11/17/2024,89148.31,91427.89,89027.1
11/16/2024,91047.96,91892.14,90100.95
11/15/2024,91740.37,91862.6,86698.29
11/14/2024,88213.6,91789.39,87020.17
11/13/2024,88633.92,93462.18,86251.17
11/12/2024,88320.23,89968.1,85133.14
11/11/2024,88014.53,88448.04,79839.29
11/10/2024,79927.89,81092.78,76405.28
11/9/2024,76469.29,76827.04,75764.26
11/8/2024,76529.92,77272.07,75529.17
11/7/2024,75959.78,76956.4,74477.74
11/6/2024,75959.32,76475.39,68903.51
11/5/2024,69162.79,70537.51,67044.26
11/4/2024,67086.01,69444.28,66814.05
11/3/2024,69114.12,69534.64,67468.82
11/2/2024,69514.85,69885.07,68827.4
11/1/2024,69195.41,71591.79,68775.73
10/31/2024,69937.51,72920.1,69591.51
10/30/2024,72834.6,72945.28,71413.45
10/29/2024,72310.41,73563.6,69499.48
10/28/2024,69610.57,69864.01,67540.82
10/27/2024,67689.07,67888.7,66854.64
10/26/2024,67177.26,67346.93,65529.6
10/25/2024,66768.48,68795.39,65878.41
10/24/2024,68149.93,68293.84,66292.18
10/23/2024,66586.37,67796.76,65174.47
10/22/2024,67498.07,67901.98,66570.23
10/21/2024,67721.2,69474.39,66810.98
10/20/2024,68758.39,68876.43,68105.45
10/19/2024,68231.4,68665.51,68026.01
10/18/2024,68419.6,68983.51,66924.14
10/17/2024,66934.03,67920.46,66648.39
10/16/2024,67620.07,68376.7,66137.23
10/15/2024,66480.39,67878.79,64807.52
10/14/2024,65906.29,66253.51,62443.69
10/13/2024,62742.75,63360.28,62043.39
10/12/2024,63033.46,63457.89,62346.15
10/11/2024,63002.15,63413.24,59634.81
10/10/2024,59728.65,61246.52,58892.78
10/9/2024,60393.26,62523.94,60281.15
10/8/2024,62348.77,63377.94,61838.69
10/7/2024,63009.26,64449.64,62302.93
10/6/2024,62621.92,62953.33,61707.3
10/5/2024,61725.06,62463.16,61695.32
10/4/2024,62420.23,62477.88,60461.39
10/3/2024,60776.03,61467.94,59861.51
10/2/2024,60905.21,62366.55,59988.64
10/1/2024,60786.64,64109.88,60168.41
9/30/2024,63785.09,65984.95,63050.95
9/29/2024,65834.07,66074.01,65447.26
9/28/2024,65657.14,66253.45,65452.28
9/27/2024,65813.57,66480.04,64654.19
9/26/2024,64678.85,65826.51,62662.12
9/25/2024,63488.74,64799.3,62997.91
9/24/2024,64227.01,64578.51,62724.62
9/23/2024,63317.34,64723.97,62393.06
9/22/2024,63210.62,63542.54,62479.69
9/21/2024,63159.61,63403.62,62775.35
9/20/2024,62823.51,64114.39,62357.98
9/19/2024,63042.1,63878.16,60192.18
9/18/2024,60232.24,61328.64,59193.77
9/17/2024,60137.4,61337.2,57601.94
9/16/2024,57668.86,59812.28,57505.82
9/15/2024,59808.85,60391.24,59714.01
9/14/2024,60030.81,60670,59472.21
9/13/2024,59878.39,60018.47,57645.32
9/12/2024,58194.64,58532.66,57238.49
9/11/2024,57495.02,57999.21,55558.22
9/10/2024,57575.28,58040.51,56413.24
9/9/2024,57021.01,57191.95,54331.62
9/8/2024,54378.17,54710.05,53639.01
