Date,PX_LAST,PX_HIGH,PX_LOW
1/6/2025,0.3868,0.3956,0.3761
1/5/2025,0.3824,0.3987,0.3754
1/4/2025,0.3909,0.3951,0.3767
1/3/2025,0.3865,0.3879,0.3347
1/2/2025,0.3373,0.3446,0.324
1/1/2025,0.3263,0.3269,0.3115
12/31/2024,0.3174,0.3287,0.3089
12/30/2024,0.3105,0.3228,0.306
12/29/2024,0.3145,0.3292,0.3128
12/28/2024,0.3229,0.324,0.3097
12/27/2024,0.311,0.3245,0.3085
12/26/2024,0.3133,0.3378,0.3082
12/25/2024,0.3317,0.342,0.3265
12/24/2024,0.3354,0.3404,0.3158
12/23/2024,0.3213,0.3283,0.3028
12/22/2024,0.3129,0.3244,0.3048
12/21/2024,0.3192,0.3498,0.3087
12/20/2024,0.3102,0.3287,0.2619
12/19/2024,0.3185,0.3672,0.2999
12/18/2024,0.361,0.4,0.3494
12/17/2024,0.3998,0.4101,0.3957
12/16/2024,0.4038,0.4146,0.3923
12/15/2024,0.398,0.405,0.3898
12/14/2024,0.3912,0.4139,0.3875
12/13/2024,0.4041,0.4122,0.3992
12/12/2024,0.4055,0.424,0.4012
12/11/2024,0.4179,0.4194,0.3756
12/10/2024,0.3929,0.4231,0.3655
12/9/2024,0.4177,0.4681,0.3814
12/8/2024,0.4646,0.4841,0.4467
12/7/2024,0.4579,0.4665,0.4313
12/6/2024,0.4347,0.4423,0.4144
12/5/2024,0.4347,0.4653,0.4078
12/4/2024,0.4228,0.4374,0.4004
12/3/2024,0.4123,0.4297,0.3883
12/2/2024,0.4215,0.4637,0.4007
12/1/2024,0.4496,0.4498,0.4169
11/30/2024,0.4282,0.4357,0.414
11/29/2024,0.4316,0.4377,0.3997
11/28/2024,0.4003,0.4293,0.3914
11/27/2024,0.4021,0.4084,0.3803
11/26/2024,0.3823,0.4088,0.3649
11/25/2024,0.3967,0.4378,0.3918
11/24/2024,0.4257,0.4542,0.3998
11/23/2024,0.4367,0.48,0.4046
11/22/2024,0.4112,0.4164,0.3813
11/21/2024,0.3842,0.3955,0.3692
11/20/2024,0.3764,0.3969,0.3652
11/19/2024,0.3903,0.4202,0.3666
11/18/2024,0.3736,0.3806,0.352
11/17/2024,0.3556,0.3756,0.34
11/16/2024,0.3695,0.3913,0.3612
11/15/2024,0.3744,0.3881,0.3523
11/14/2024,0.3869,0.4164,0.3793
11/13/2024,0.3823,0.4338,0.3525
11/12/2024,0.3776,0.439,0.3199
11/11/2024,0.3312,0.3337,0.269
11/10/2024,0.2708,0.298,0.2135
