Date,PX_LAST,PX_HIGH,PX_LOW
1/6/2025,3669.028,3745.235,3611.25
1/5/2025,3646.167,3674.855,3594.305
1/4/2025,3658.315,3671.127,3573.02
1/3/2025,3613.583,3629.925,3421.13
1/2/2025,3451.325,3505.55,3347.665
1/1/2025,3361.736,3364.545,3309.218
12/31/2024,3346.486,3447.46,3311.008
12/30/2024,3314.246,3430.486,3298.425
12/29/2024,3344.445,3424.345,3328.75
12/28/2024,3398.238,3407.223,3308.685
12/27/2024,3315.103,3437.165,3302.265
12/26/2024,3333.382,3512.363,3301.942
12/25/2024,3465.105,3544.305,3438.328
12/24/2024,3487.805,3537.91,3354.085
12/23/2024,3419.182,3455.89,3215.637
12/22/2024,3281.298,3400.925,3218.71
12/21/2024,3316.675,3553.405,3302.845
12/20/2024,3438.698,3497.65,3097.585
12/19/2024,3416.438,3718.585,3326.188
12/18/2024,3690.157,3935.996,3641.446
12/17/2024,3931.555,4052.426,3917.045
12/16/2024,4048.186,4108,3849.5
12/15/2024,3855.43,3917.716,3831.035
12/14/2024,3847.45,3945.117,3824.853
12/13/2024,3903.395,3968.644,3836.765
12/12/2024,3866.9,3988.426,3800.032
12/11/2024,3832.265,3843.654,3565
12/10/2024,3641.255,3781.925,3518.045
12/9/2024,3700.578,4018.309,3494.77
12/8/2024,3994.351,4016.259,3927.739
12/7/2024,4008.801,4046.703,3973.601
12/6/2024,4029.446,4095.373,3684.581
12/5/2024,3860,3958.166,3772.53
12/4/2024,3844.571,3896.927,3599.601
12/3/2024,3615.23,3671.674,3503.28
12/2/2024,3616.98,3762.137,3557.155
12/1/2024,3708.488,3748.236,3662.365
11/30/2024,3722.53,3735.073,3570.75
11/29/2024,3594.055,3649.029,3536.722
11/28/2024,3572.833,3688.255,3531.289
11/27/2024,3637.998,3649.798,3301.56
11/26/2024,3322.708,3472.091,3254.66
11/25/2024,3439.032,3546.022,3304.15
11/24/2024,3347.09,3453.173,3286.355
11/23/2024,3420.89,3499.998,3303.097
11/22/2024,3320.212,3428.542,3262.353
11/21/2024,3348.593,3388.79,3035.177
11/20/2024,3080.262,3161.305,3032.11
11/19/2024,3095.66,3225.8,3071.85
11/18/2024,3150.302,3200.085,3043.038
11/17/2024,3062.427,3165.302,3037.603
11/16/2024,3155.885,3220.143,3072.975
11/15/2024,3091.732,3131.475,3014.692
11/14/2024,3119.163,3241.772,3060.557
11/13/2024,3154.578,3338.903,3121.113
11/12/2024,3280.71,3445.88,3210.1
11/11/2024,3327.48,3373.21,3107.867
11/10/2024,3170.985,3251.135,3070.63
11/9/2024,3078.37,3095.68,2942.248
11/8/2024,2943.405,2985.175,2865.375
11/7/2024,2893.792,2919.627,2685.715
11/6/2024,2689.292,2705.933,2408.68
11/5/2024,2415.433,2479.155,2366.8
11/4/2024,2370.492,2489.445,2356.9
11/3/2024,2468.76,2497.047,2410.745
11/2/2024,2494.775,2521.985,2470.508
11/1/2024,2518.95,2585.375,2466.222
10/31/2024,2517.777,2685.433,2500.75
10/30/2024,2678.675,2720.683,2599.542
10/29/2024,2620.02,2680.583,2514.985
10/28/2024,2515.925,2541.25,2469.41
10/27/2024,2489.067,2507.41,2461.395
10/26/2024,2487.345,2503.893,2380.42
10/25/2024,2474.08,2564.2,2451.192
10/24/2024,2535.893,2559.35,2498.828
10/23/2024,2512.552,2642.768,2449.952
10/22/2024,2632.79,2683.958,2605.022
10/21/2024,2674.797,2768.105,2655.12
10/20/2024,2711.032,2719.32,2635.64
10/19/2024,2645.317,2662.75,2631.113
10/18/2024,2643.01,2675.025,2595.855
10/17/2024,2597.448,2647.48,2575.177
10/16/2024,2617.748,2646.795,2568.54
10/15/2024,2572.098,2687.268,2537.177
10/14/2024,2621.075,2641.643,2442.525
10/13/2024,2460.012,2491.137,2436.143
10/12/2024,2470.115,2483.65,2433.575
10/11/2024,2456.948,2470.91,2360.2
10/10/2024,2366.518,2418.403,2328.657
10/9/2024,2354.485,2472.218,2352.357
10/8/2024,2441.995,2457.492,2400.403
10/7/2024,2441.413,2520.203,2416.438
10/6/2024,2438.633,2457.365,2390.36
10/5/2024,2392.167,2432.48,2390.078
10/4/2024,2428.985,2440.83,2334.08
10/3/2024,2342.073,2403.177,2309.907
10/2/2024,2385.585,2498.528,2360.262
10/1/2024,2451.257,2657.995,2413.743
9/30/2024,2613.605,2673.195,2574.475
9/29/2024,2661.548,2683.768,2635.2
9/28/2024,2675.84,2710.373,2651.238
9/27/2024,2694.47,2728.87,2615.942
9/26/2024,2631.903,2666.63,2556.515
9/25/2024,2580.47,2673.598,2567.183
9/24/2024,2651.058,2667.785,2592.262
9/23/2024,2661.93,2702.835,2526.752
9/22/2024,2573.448,2632.4,2553.343
9/21/2024,2566.18,2587.05,2529.853
9/20/2024,2540.7,2572.355,2438.125
9/19/2024,2465.732,2494.982,2325.782
9/18/2024,2325.887,2364.655,2277.375
9/17/2024,2344.76,2393.91,2263.268
9/16/2024,2274.005,2364.65,2252.915
9/15/2024,2363.825,2430.645,2356.397
9/14/2024,2416.695,2465.448,2381.675
9/13/2024,2423.375,2429.243,2337.538
9/12/2024,2351.797,2393.243,2315.508
9/11/2024,2348.09,2400.165,2277.867
9/10/2024,2378.055,2395.345,2321.58
9/9/2024,2341.69,2353.328,2273.265
