Date,PX_LAST,PX_HIGH,PX_LOW
1/6/2025,113.225,117.298,111.62
1/5/2025,114.413,114.423,110.613
1/4/2025,111.223,114.838,110.118
1/3/2025,114.338,114.343,104.058
1/2/2025,105.36,108.6,104.525
1/1/2025,105.293,107.93,101.885
12/31/2024,103.685,104.643,97.612
12/30/2024,98.352,102.838,96.8
12/29/2024,97.898,101.62,97.585
12/28/2024,100.99,101.855,98.534
12/27/2024,101.533,106.385,100.32
12/26/2024,102.143,110.225,101.008
12/25/2024,108.42,110.565,106.878
12/24/2024,108.155,110.733,103.85
12/23/2024,105.47,107.45,97.836
12/22/2024,99.838,103.848,96.685
12/21/2024,100.088,105.99,97.728
12/20/2024,99.505,103.15,86.608
12/19/2024,100.008,111.71,94.68
12/18/2024,110.728,129.105,106.875
12/17/2024,126.248,131.325,114.435
12/16/2024,119.395,123.883,115.353
12/15/2024,116.225,120.583,114.298
12/14/2024,117.09,125.358,115.423
12/13/2024,122.503,123.565,117.115
12/12/2024,119.688,125.035,116.548
12/11/2024,117.89,118.735,106.128
12/10/2024,109.83,114.855,101.32
12/9/2024,109.255,135.93,101.85
12/8/2024,133.463,135.17,130.223
12/7/2024,132.94,138.745,131.923
12/6/2024,134.34,139.323,130.243
12/5/2024,136.88,147.148,125.145
12/4/2024,131.88,135.24,122.07
12/3/2024,131.363,139.083,121.518
12/2/2024,138.54,139.568,114.955
12/1/2024,119.138,119.418,99.446
11/30/2024,103.1,104.98,100.423
11/29/2024,103.618,104.433,94.764
11/28/2024,95.066,98.477,93.718
11/27/2024,97.643,99.083,91.184
11/26/2024,91.333,95.305,87.973
11/25/2024,93.237,99.266,92.324
11/24/2024,97.348,103.245,91.763
11/23/2024,99.589,106.483,90.254
11/22/2024,90.495,92.753,87.836
11/21/2024,88.5,92.06,81.647
11/20/2024,84.176,87.883,82.451
11/19/2024,86.286,90.233,85.205
11/18/2024,89.013,94.763,84.944
11/17/2024,86.058,97.464,85.301
11/16/2024,96.574,98.483,82.874
11/15/2024,84.354,87.295,78.897
11/14/2024,83.856,84.921,74.197
11/13/2024,74.482,78.412,71.973
11/12/2024,77.426,82.81,74.085
11/11/2024,78.703,79.283,74.646
11/10/2024,75.754,78.27,72.427
11/9/2024,72.496,73.968,71.61
11/8/2024,72.234,73.095,70.729
11/7/2024,72.114,72.44,69.958
11/6/2024,70.729,70.884,65.246
11/5/2024,65.75,67.238,64.542
11/4/2024,64.651,67.672,64.427
11/3/2024,67.057,69.396,65.286
11/2/2024,69.293,71.217,68.851
11/1/2024,70.499,71.035,67.656
10/31/2024,68.78,72.424,68.351
10/30/2024,72.424,74.333,71.47
10/29/2024,72.969,73.935,70.348
10/28/2024,70.484,71.481,69.592
10/27/2024,70.732,70.954,67.942
10/26/2024,68.521,70.857,66.798
10/25/2024,70.684,72.235,69.897
10/24/2024,71.076,71.206,69.245
10/23/2024,69.731,70.141,67.798
10/22/2024,69.853,71.55,69.35
10/21/2024,70.957,74.585,70.31
10/20/2024,74.054,75.834,73.92
10/19/2024,75.249,76.142,73.007
10/18/2024,73.447,74.813,71.882
10/17/2024,72.863,73.074,69.833
10/16/2024,70.043,73.008,69.08
10/15/2024,69.138,71.933,65.281
10/14/2024,66.767,67.203,64.11
10/13/2024,64.722,66.415,64.428
10/12/2024,66.34,66.637,65.077
10/11/2024,65.648,65.926,63.732
10/10/2024,64.078,65.02,63.208
10/9/2024,64.262,66.129,64.225
10/8/2024,65.967,65.975,64.493
10/7/2024,65.626,67.966,64.69
10/6/2024,67.329,67.636,65.056
10/5/2024,65.13,66.342,64.69
10/4/2024,65.05,65.183,63.005
10/3/2024,63.148,63.974,61.935
10/2/2024,63.176,64.758,62.259
10/1/2024,62.933,68.583,62.027
9/30/2024,67.398,70.338,66.532
9/29/2024,70.001,70.314,68.53
9/28/2024,69.84,71.526,69.045
9/27/2024,70.8,70.867,67.59
9/26/2024,67.65,68.511,65.633
9/25/2024,67.274,67.853,65.92
9/24/2024,66.38,67.269,65.688
9/23/2024,66.976,69.33,66.493
9/22/2024,67.879,67.994,66.465
9/21/2024,66.766,67.017,64.84
9/20/2024,65.266,66.429,64.347
9/19/2024,65.65,66.084,63.985
9/18/2024,64.16,64.466,62.408
9/17/2024,63.433,64.035,61.945
9/16/2024,62.316,64.153,62.161
9/15/2024,64.138,66.324,63.895
9/14/2024,65.961,66.789,64.585
9/13/2024,64.59,65.039,62.412
9/12/2024,62.785,63.127,61.528
9/11/2024,61.92,62.421,60.118
9/10/2024,61.478,61.825,60.353
9/9/2024,61.264,61.501,59.678
9/8/2024,60.675,62.299,60.225
9/7/2024,62.055,64.13,61.207
9/6/2024,61.562,66.803,61.538
9/5/2024,66.158,68.527,64.447
9/4/2024,65.558,66.218,62.104
9/3/2024,65.401,66.358,64.398
9/2/2024,65.459,65.645,62.613
9/1/2024,64.938,65.457,63.813
8/31/2024,64.946,66.437,64.532
8/30/2024,64.539,64.73,61.252
8/29/2024,62.025,63.94,61.526
8/28/2024,62.214,63.6,59.083
8/27/2024,63.365,63.967,62.128
8/26/2024,63.899,65.53,63.023
8/25/2024,64.99,67.27,64.48
8/24/2024,67.26,68.004,65.478
8/23/2024,66.087,66.118,63.5
8/22/2024,63.799,64.809,62.51
8/21/2024,64.031,64.965,62.078
8/20/2024,64.478,67.335,63.178
8/19/2024,66.72,67.441,66.013
8/18/2024,66.645,68.159,66.516
8/17/2024,67.687,67.88,65.9
8/16/2024,66.333,66.805,64.31
8/15/2024,64.866,66.912,63.604
8/14/2024,64.436,64.648,62.624
8/13/2024,62.915,63.527,60.44
8/12/2024,60.928,62.07,58.845
8/11/2024,59.319,62.374,59.14
8/10/2024,61.003,61.571,59.684
8/9/2024,60.123,62.012,59.363
8/8/2024,59.864,60.728,55.181
8/7/2024,56.73,59.536,55.365
8/6/2024,58.666,59.34,55.768
8/5/2024,56.175,63.675,49.916
8/4/2024,63.373,65.22,60.365
8/3/2024,62.967,66.339,62.525
8/2/2024,65.46,69.934,63.953
8/1/2024,67.962,71.424,66.012
7/31/2024,70.132,72.91,69.875
7/30/2024,71.88,74.535,71.075
7/29/2024,74.366,76.758,71.045
7/28/2024,71.197,71.757,70.34
7/27/2024,71.252,72.357,70.305
7/26/2024,71.1,71.68,68.74
7/25/2024,68.872,72.236,67.28
7/24/2024,72.233,73.675,71.785
7/23/2024,72.42,73.13,70.47
7/22/2024,72.18,74.615,71.425
7/21/2024,73.523,73.945,71.32
7/20/2024,73.556,73.939,72.375
7/19/2024,73.1,74.147,69.66
7/18/2024,71.355,72.941,70.52
7/17/2024,72.125,74.282,71.158
7/16/2024,73.286,74.1,70.381
7/15/2024,72.224,72.266,69.628
7/14/2024,69.685,70.533,69.27
7/13/2024,69.778,70.672,68.916
7/12/2024,68.941,69.437,66.808
7/11/2024,67.964,69.14,66.393
7/10/2024,66.587,67.271,64.535
7/9/2024,65.598,66.275,64.229
7/8/2024,64.356,66.971,59.279
7/7/2024,63.35,65.602,62.482
7/6/2024,65.025,65.695,61.372
7/5/2024,61.541,67.765,57.019
7/4/2024,67.401,72.829,67.247
7/3/2024,72.208,76.116,72.163
7/2/2024,75.187,75.368,74.204
7/1/2024,74.463,75.835,74.085
6/30/2024,74.697,76.136,74.008
6/29/2024,75.837,76.702,72.73
6/28/2024,73.199,74.668,72.453
6/27/2024,72.737,72.837,70.486
6/26/2024,71.341,71.954,70.387
6/25/2024,71.653,71.975,68.418
6/24/2024,68.468,74.227,67.6
6/23/2024,73.787,74.99,73.318
6/22/2024,74.577,74.85,73.538
6/21/2024,74.016,74.979,72.145
6/20/2024,74.75,75.335,73.193
6/19/2024,74.258,74.958,72.078
6/18/2024,72.283,77.216,70.696
6/17/2024,76.862,79.2,75.121
6/16/2024,78.762,80.081,78.635
6/15/2024,79.11,79.4,76.939
6/14/2024,77.075,80.232,76.358
6/13/2024,79.213,79.768,77.271
6/12/2024,78.418,79.255,76.345
6/11/2024,77.113,79.977,75.726
6/10/2024,79.805,80.631,79.06
6/9/2024,80.51,80.711,79.499
6/8/2024,79.708,80.427,78.858
6/7/2024,80.043,85.094,75.249
6/6/2024,85.008,85.791,84.353
6/5/2024,84.85,85.037,83.206
6/4/2024,83.486,83.618,81.121
6/3/2024,83.1,84.234,82.617
6/2/2024,82.979,83.549,82.156
6/1/2024,83.293,83.668,82.843
5/31/2024,83.418,84.647,81.979
5/30/2024,84.02,85.506,81.907
5/29/2024,83.551,84.136,82.567
5/28/2024,83.024,85.482,82
5/27/2024,85.437,86.363,83.538
5/26/2024,83.768,85.26,83.559
5/25/2024,84.825,85.922,84.457
5/24/2024,85.276,86.453,82.88
5/23/2024,83.493,87.923,80.758
5/22/2024,85.737,88.476,84.89
5/21/2024,88.085,89.624,85.787
5/20/2024,86.344,86.986,81.799
5/19/2024,82.422,84.407,82.269
5/18/2024,83.994,84.796,83.469
5/17/2024,83.672,84.208,81.926
5/16/2024,82.046,83.267,81.411
5/15/2024,82.277,82.323,78.243
5/14/2024,79.307,81.607,78.562
5/13/2024,80.976,82.51,78.956
5/12/2024,81.718,82.15,80.799
5/11/2024,81.701,82.256,79.58
5/10/2024,80.028,83.476,79.696
5/9/2024,82.337,82.713,80.451
5/8/2024,80.945,82.277,79.34
5/7/2024,81.921,82.648,79.86
5/6/2024,81.238,84.21,80.068
5/5/2024,81.441,82.435,80.414
5/4/2024,82.318,83.018,81.628
5/3/2024,82.351,82.672,79.366
5/2/2024,80.184,81.305,78.63
5/1/2024,79.043,80.828,74.598
4/30/2024,78.814,84.517,77.296
4/29/2024,82.363,85.607,81.761
4/28/2024,85.357,85.375,83.291
4/27/2024,83.388,88.524,83.131
4/26/2024,88.358,88.525,83.099
4/25/2024,84.677,84.93,81.857
4/24/2024,84.065,87.699,83.505
4/23/2024,85.168,86.422,84.061
4/22/2024,86.274,86.523,83.977
4/21/2024,84.434,85.734,82.763
4/20/2024,85.268,86.03,79.723
4/19/2024,81.179,82.219,75.843
4/18/2024,81.079,82.539,78.656
4/17/2024,79.197,80.566,76.36
4/16/2024,79.283,79.947,75.432
4/15/2024,77.649,82.922,75.714
4/14/2024,76.87,80.345,70.902
4/13/2024,72.866,86.639,71.675
4/12/2024,85.737,99.774,80.143
4/11/2024,99.38,99.975,94.898
4/10/2024,95.856,98.372,93.539
4/9/2024,98.353,104.373,96.482
