Date,PX_LAST,PX_HIGH,PX_LOW
1/6/2025,595.36,599.7,593.6
1/3/2025,591.95,592.6,586.43
1/2/2025,584.64,591.13,580.5
12/31/2024,586.08,590.6399,584.42
12/30/2024,588.22,591.74,584.41
12/27/2024,595.01,597.7761,590.7647
12/26/2024,601.34,602.48,598.0825
12/24/2024,601.3,601.34,595.47
12/23/2024,594.69,595.3,587.661
12/20/2024,591.15,595.75,580.91
12/19/2024,586.1,593,585.85
12/18/2024,586.28,606.405,585.89
12/17/2024,604.29,605.17,602.885
12/16/2024,606.79,607.7795,605.21
12/13/2024,604.21,607.13,602.81
12/12/2024,604.33,607.16,604.33
12/11/2024,607.46,608.435,605.5
12/10/2024,602.8,605.8,602.13
12/9/2024,604.68,607.86,604.08
12/6/2024,607.81,609.07,607.02
12/5/2024,606.66,608.48,606.305
12/4/2024,607.66,607.91,604.95
12/3/2024,603.91,604.16,602.341
12/2/2024,603.63,604.32,602.47
11/29/2024,602.55,603.35,599.3805
11/27/2024,598.83,600.85,597.28
11/26/2024,600.65,601.33,598.07
11/25/2024,597.53,600.86,595.2
11/22/2024,595.51,596.15,593.1525
11/21/2024,593.67,595.12,587.45
11/20/2024,590.5,590.79,584.63
11/19/2024,590.3,591.045,584.03
11/18/2024,588.15,589.49,585.34
11/15/2024,585.75,590.2,583.86
11/14/2024,593.35,597.81,592.65
11/13/2024,597.19,599.23,594.96
11/12/2024,596.9,599.29,594.37
11/11/2024,598.76,600.17,597
11/8/2024,598.19,599.64,596.165
11/7/2024,595.61,596.65,592.9999
11/6/2024,591.04,591.93,585.39
11/5/2024,576.7,576.74,570.52
11/4/2024,569.81,572.5,567.89
11/1/2024,571.04,575.55,570.62
10/31/2024,568.64,575.63,568.44
10/30/2024,580.01,583.32,579.29
10/29/2024,581.77,582.907,578.43
10/28/2024,580.83,582.71,580.52
10/25/2024,579.04,584.46,578.08
10/24/2024,579.24,580.06,576.57
10/23/2024,577.99,581.7086,574.415
10/22/2024,583.32,584.5,580.38
10/21/2024,583.63,584.85,580.6001
10/18/2024,584.59,585.39,582.58
10/17/2024,582.35,586.12,582.16
10/16/2024,582.3,582.83,578.96
10/15/2024,579.78,584.9,578.545
10/14/2024,584.32,585.27,580.73
10/11/2024,579.58,580.33,575.91
10/10/2024,576.13,577.58,574.49
10/9/2024,577.14,577.71,572.55
10/8/2024,573.17,573.78,569.5299
10/7/2024,567.8,571.9599,566.63
10/4/2024,572.98,573.36,568.1
10/3/2024,567.82,569.8025,565.49
10/2/2024,568.86,569.9,565.27
10/1/2024,568.62,574.0622,566
9/30/2024,573.76,574.38,568.08
9/27/2024,571.47,574.22,570.42
9/26/2024,572.3,574.71,569.9
9/25/2024,570.04,571.89,568.91
9/24/2024,571.3,571.36,567.6
9/23/2024,569.67,570.3325,568.1
9/20/2024,568.25,569.31,565.17
9/19/2024,570.98,572.88,568.08
9/18/2024,561.4,568.69,560.83
9/17/2024,563.07,566.58,560.795
9/16/2024,562.84,563.11,559.9
9/13/2024,562.01,563.03,559.45
9/12/2024,559.09,559.4,552.74
9/11/2024,554.42,555.36,539.96
9/10/2024,548.79,549.15,543.38
9/9/2024,546.41,547.71,542.68
9/6/2024,540.36,551.6,539.44
9/5/2024,549.61,553.7995,547.1
9/4/2024,550.95,554.43,549.46
9/3/2024,552.08,560.81,549.51
8/30/2024,563.68,564.2,557.14
8/29/2024,558.35,563.68,557.18
8/28/2024,558.3,561.65,555.04
8/27/2024,561.56,562.06,558.32
8/26/2024,560.79,563.91,559.05
8/23/2024,562.13,563.09,557.29
8/22/2024,556.22,563.18,554.98
8/21/2024,560.62,562.11,554.73
8/20/2024,558.7,560.84,557.325
8/19/2024,559.61,559.61,553.86
8/16/2024,554.31,555.02,551.26
8/15/2024,553.07,553.36,548.88
8/14/2024,543.75,544.96,540.12
8/13/2024,542.04,542.28,536.28
8/12/2024,533.27,535.73,530.95
8/9/2024,532.99,534.51,528.56
8/8/2024,530.65,531.29,521.84
8/7/2024,518.66,531.59,518.0519
8/6/2024,522.15,529.75,517.87
8/5/2024,517.38,523.58,510.27
8/2/2024,532.9,536.99,528.6
8/1/2024,543.01,554.8688,539.43
7/31/2024,550.81,553.5,547.5799
7/30/2024,542,547.34,538.515
7/29/2024,544.76,547.05,542.72
7/26/2024,544.44,547.19,541.49
7/25/2024,538.41,547.455,537.45
7/24/2024,541.23,549.17,540.29
7/23/2024,553.78,556.735,553.275
7/22/2024,554.65,555.27,551.02
7/19/2024,548.99,554.08,547.91
7/18/2024,552.66,559.52,550.43
7/17/2024,556.94,560.51,556.61
7/16/2024,564.86,565.16,562.1
7/15/2024,561.53,564.8371,559.63
7/12/2024,559.99,563.67,557.15
7/11/2024,556.48,562.33,555.83
7/10/2024,561.32,561.67,556.77
7/9/2024,555.82,557.18,555.52
7/8/2024,555.28,556.2501,554.19
7/5/2024,554.64,555.05,551.12
7/3/2024,551.46,551.83,548.65
7/2/2024,549.01,549.01,543.65
7/1/2024,545.34,545.88,542.52
6/28/2024,544.22,550.28,542.95
6/27/2024,546.37,546.96,544.61
6/26/2024,545.51,546.24,543.03
6/25/2024,544.83,545.2,542.44
6/24/2024,542.74,546.95,542.62
6/21/2024,544.51,545.65,543.02
6/20/2024,547,550.12,545.18
6/18/2024,548.49,548.62,546.73
6/17/2024,547.1,548.53,541.6072
6/14/2024,542.78,542.81,539.85
6/13/2024,542.45,543.325,539.59
6/12/2024,541.36,544.12,540.3
6/11/2024,536.95,537.01,532.05
6/10/2024,535.66,535.99,532.57
6/7/2024,534.01,536.89,532.535
6/6/2024,534.66,535.42,532.68
6/5/2024,534.67,534.69,528.7254
6/4/2024,528.39,529.15,524.96
6/3/2024,527.8,529.31,522.6
5/31/2024,527.37,527.5,518.36
5/30/2024,522.61,525.2,521.33
5/29/2024,526.1,527.31,525.37
5/28/2024,529.81,530.51,527.11
5/24/2024,529.44,530.27,526.881
5/23/2024,525.96,533.07,524.72
5/22/2024,529.83,531.38,527.6
5/21/2024,531.36,531.52,529.07
5/20/2024,530.06,531.5601,529.17
5/17/2024,529.45,529.52,527.32
5/16/2024,528.69,531.5218,528.54
5/15/2024,529.78,530.08,525.18
5/14/2024,523.3,523.83,520.56
5/13/2024,520.91,522.67,519.74
5/10/2024,520.84,522.635,519.59
5/9/2024,520.17,520.2074,516.705
5/8/2024,517.19,517.74,515.14
5/7/2024,517.14,518.57,516.45
5/6/2024,516.57,516.61,513.3
5/3/2024,511.29,512.55,508.56
5/2/2024,505.03,505.89,499.55
5/1/2024,500.35,508.19,499.865
4/30/2024,501.98,509.56,501.98
4/29/2024,510.06,510.75,507.25
4/26/2024,508.26,509.88,505.7
4/25/2024,503.49,504.27,497.49
4/24/2024,505.41,507.37,503.13
4/23/2024,505.65,506.09,499.5328
4/22/2024,499.72,502.38,495.43
4/19/2024,495.16,500.455,493.86
4/18/2024,499.52,504.13,498.56
4/17/2024,500.55,506.22,499.12
4/16/2024,503.53,506.5,502.21
4/15/2024,504.45,515.3,503.58
4/12/2024,510.85,515.815,509.08
4/11/2024,518,519.48,512.08
4/10/2024,514.12,516.16,512.09
4/9/2024,519.32,520.75,514.35
4/8/2024,518.72,520.18,517.89
4/5/2024,518.43,520.44,514.01
4/4/2024,513.07,523.8674,512.755
4/3/2024,519.41,520.95,517.665
4/2/2024,518.84,518.98,516.48
4/1/2024,522.16,524.38,520.97
3/28/2024,523.07,524.61,522.78
3/27/2024,523.17,523.21,519.485
3/26/2024,518.81,521.58,518.4
3/25/2024,519.77,520.95,519.61
3/22/2024,521.21,522.605,520.97
3/21/2024,522.2,524.11,521.91
3/20/2024,520.48,520.62,515.08
3/19/2024,515.71,515.995,511.12
3/18/2024,512.86,515.48,512.44
3/15/2024,509.83,511.7,508.122
3/14/2024,514.95,517.125,511.82
3/13/2024,515.97,517.29,514.49
3/12/2024,516.78,517.38,510.86
3/11/2024,511.28,511.88,508.5
3/8/2024,511.72,518.2201,511.13
3/7/2024,514.81,515.89,509.8053
3/6/2024,509.75,512.069,508.42
3/5/2024,507.18,510.7,504.91
3/4/2024,512.3,514.2,512
3/1/2024,512.85,513.29,508.56
2/29/2024,508.08,509.74,505.35
2/28/2024,506.26,506.855,504.96
2/27/2024,506.93,507.16,504.75
2/26/2024,505.99,508.75,505.86
2/23/2024,507.85,510.13,507.1
2/22/2024,507.5,508.49,503.02
2/21/2024,497.21,497.37,493.56
2/20/2024,496.76,498.41,494.45
2/16/2024,499.51,502.87,498.75
2/15/2024,502.01,502.2,498.795
2/14/2024,498.57,499.07,494.4
2/13/2024,494.08,497.09,490.715
2/12/2024,500.98,503.5,500.24
2/9/2024,501.2,501.65,498.49
2/8/2024,498.32,498.71,497.26
2/7/2024,498.1,498.53,495.36
2/6/2024,493.98,494.32,492.05
2/5/2024,492.55,494.3778,490.23
2/2/2024,494.35,496.05,489.3
2/1/2024,489.2,489.23,483.8
1/31/2024,482.88,489.0813,482.86
1/30/2024,490.89,491.62,490.11
1/29/2024,491.27,491.415,487.17
1/26/2024,487.41,489.12,486.54
1/25/2024,488.03,488.305,485.39
1/24/2024,485.39,488.77,484.8819
1/23/2024,484.86,485.105,482.89
1/22/2024,483.45,485.22,482.78
1/19/2024,482.43,482.72,476.5374
1/18/2024,476.49,477.06,472.42
1/17/2024,472.29,472.79,469.87
1/16/2024,474.93,476.6098,473.06
1/12/2024,476.68,478.6,475.23
1/11/2024,476.35,478.12,472.26
1/10/2024,476.56,477.4481,473.87
1/9/2024,473.88,474.93,471.35
1/8/2024,474.6,474.75,468.3
1/5/2024,467.92,470.44,466.43
1/4/2024,467.28,470.96,467.05
1/3/2024,468.79,471.19,468.17
1/2/2024,472.65,473.67,470.49
12/29/2023,475.31,477.03,473.3
12/28/2023,476.69,477.55,476.26
12/27/2023,476.51,476.66,474.89
12/26/2023,475.65,476.58,473.99
12/22/2023,473.65,475.38,471.7
12/21/2023,472.7,472.975,468.84
12/20/2023,468.26,475.895,467.82
12/19/2023,474.84,474.92,472.45
12/18/2023,471.97,472.98,469.8929
12/15/2023,469.33,470.7,467.4263
12/14/2023,472.01,473.73,469.25
12/13/2023,470.5,470.7599,464.12
12/12/2023,464.1,464.2,460.6
12/11/2023,461.99,462.17,459.47
12/8/2023,460.2,460.745,457.21
12/7/2023,458.23,458.9,456.29
12/6/2023,454.76,458.84,454.31
12/5/2023,456.6,457.59,454.87
12/4/2023,456.69,459.1206,454.34
12/1/2023,459.1,459.65,455.16
11/30/2023,456.4,456.76,453.34
11/29/2023,454.61,458.32,454.2
11/28/2023,454.93,456.27,453.5
