Date,PX_LAST,PX_HIGH,PX_LOW
1/6/2025,2.4139,2.459,2.3679
1/5/2025,2.3922,2.4336,2.3285
1/4/2025,2.4245,2.5076,2.402
1/3/2025,2.4524,2.4783,2.3838
1/2/2025,2.3853,2.4467,2.2957
1/1/2025,2.3167,2.3368,2.0725
12/31/2024,2.095,2.1468,2.0108
12/30/2024,2.0487,2.1482,1.9936
12/29/2024,2.1073,2.2054,2.1029
12/28/2024,2.1962,2.2004,2.1313
12/27/2024,2.1418,2.2353,2.1128
12/26/2024,2.1615,2.3149,2.1285
12/25/2024,2.2994,2.339,2.2615
12/24/2024,2.3248,2.3492,2.2119
12/23/2024,2.223,2.2761,2.1306
12/22/2024,2.2049,2.2923,2.1589
12/21/2024,2.2265,2.3843,2.192
12/20/2024,2.2471,2.3528,1.9593
12/19/2024,2.2547,2.4304,2.1571
12/18/2024,2.35,2.6243,2.2481
12/17/2024,2.6061,2.725,2.4412
12/16/2024,2.4903,2.5863,2.3332
12/15/2024,2.3704,2.4479,2.3693
12/14/2024,2.383,2.5298,2.3557
12/13/2024,2.4325,2.4788,2.2861
12/12/2024,2.3613,2.4843,2.339
12/11/2024,2.4291,2.4727,2.2325
12/10/2024,2.3504,2.4202,1.9005
12/9/2024,2.2359,2.6249,1.9933
12/8/2024,2.5763,2.6489,2.4871
12/7/2024,2.5262,2.574,2.3643
12/6/2024,2.3662,2.4162,2.2216
12/5/2024,2.3293,2.4959,2.1761
12/4/2024,2.3966,2.6816,2.2845
12/3/2024,2.6268,2.9045,2.287
12/2/2024,2.7088,2.8733,2.1416
12/1/2024,2.1744,2.2029,1.8508
11/30/2024,1.9224,1.9499,1.7374
11/29/2024,1.7505,1.7778,1.4829
11/28/2024,1.4899,1.4999,1.4317
11/27/2024,1.4957,1.523,1.3523
11/26/2024,1.3997,1.4591,1.2836
11/25/2024,1.4301,1.5403,1.3566
11/24/2024,1.4394,1.5142,1.2785
11/23/2024,1.4971,1.6325,1.4224
11/22/2024,1.4508,1.5008,1.1936
11/21/2024,1.1936,1.2396,1.0788
11/20/2024,1.1054,1.1507,1.0574
11/19/2024,1.0843,1.1484,1.0697
11/18/2024,1.12,1.1865,1.0367
11/17/2024,1.053,1.1605,1.0033
11/16/2024,1.1357,1.2709,0.8784
11/15/2024,0.9189,0.9253,0.756
11/14/2024,0.8252,0.8397,0.6802
11/13/2024,0.6825,0.7481,0.6414
11/12/2024,0.7235,0.7402,0.5977
11/11/2024,0.6149,0.634,0.5708
11/10/2024,0.587,0.6189,0.5523
11/9/2024,0.5525,0.5568,0.5438
11/8/2024,0.5525,0.5602,0.5418
11/7/2024,0.5551,0.5784,0.5382
11/6/2024,0.5444,0.5451,0.5097
11/5/2024,0.5114,0.5186,0.4958
11/4/2024,0.4971,0.5142,0.4957
11/3/2024,0.5032,0.5109,0.4921
11/2/2024,0.5091,0.5159,0.5064
11/1/2024,0.5148,0.5238,0.5023
10/31/2024,0.508,0.5254,0.5029
10/30/2024,0.5248,0.5287,0.5194
10/29/2024,0.5246,0.5307,0.5162
