Epoch,Training Loss,Validation Loss
1,0.02661171928048134,0.004016578197479248
2,0.004949236288666725,0.008283944800496101
3,0.003983577713370323,0.0035866573452949524
4,0.003745404537767172,0.002286073751747608
5,0.002912381663918495,0.0030556225683540106
6,0.003117862157523632,0.0014163764426484704
7,0.003064965596422553,0.0030648335814476013
8,0.0027972105890512466,0.003697482869029045
9,0.002438196213915944,0.002397024305537343
10,0.0025074752047657967,0.0025695925578475
11,0.0025530962739139795,0.0010794176487252116
12,0.002366601023823023,0.0031107233371585608
13,0.002395029179751873,0.002018245402723551
14,0.002573281992226839,0.004840195644646883
15,0.0021890455391258,0.0014647268690168858
16,0.0026195638347417116,0.003809441812336445
17,0.0020959291141480207,0.004814716521650553
18,0.002529066288843751,0.0028307524044066668
19,0.0021991096436977386,0.0038222260773181915
20,0.0021045298781245947,0.0032404919620603323
